t,u,w,q,theta,alpha_deg,V_mps,de_cmd_deg,saturated
0.0000,0.0000,0.0000,-0.0063,0.0000,10.0764,20.0000,0.8632,1
0.0050,0.0003,-0.0006,-0.0137,-0.0000,10.0764,20.0000,1.0439,1
0.0100,0.0010,-0.0020,-0.0224,-0.0001,10.0746,20.0003,1.2548,1
0.0150,0.0021,-0.0042,-0.0326,-0.0002,10.0707,20.0010,1.5010,1
0.0200,0.0037,-0.0074,-0.0446,-0.0004,10.0643,20.0021,1.7884,1
0.0250,0.0059,-0.0118,-0.0586,-0.0006,10.0551,20.0037,2.1237,1
0.0300,0.0088,-0.0175,-0.0750,-0.0009,10.0426,20.0059,2.5147,1
0.0350,0.0125,-0.0247,-0.0941,-0.0013,10.0263,20.0088,2.9707,1
0.0400,0.0171,-0.0338,-0.1165,-0.0017,10.0055,20.0125,3.5023,1
0.0450,0.0228,-0.0450,-0.1426,-0.0023,9.9795,20.0171,4.1221,1
0.0500,0.0299,-0.0586,-0.1731,-0.0030,9.9474,20.0228,4.8446,1
0.0550,0.0384,-0.0752,-0.2086,-0.0039,9.9083,20.0299,5.6865,1
0.0600,0.0487,-0.0950,-0.2501,-0.0049,9.8610,20.0384,6.6677,1
0.0650,0.0611,-0.1187,-0.2985,-0.0062,9.8042,20.0487,7.8111,1
0.0700,0.0758,-0.1470,-0.3550,-0.0077,9.7362,20.0611,9.1433,1
0.0750,0.0933,-0.1805,-0.4208,-0.0095,9.6552,20.0758,10.6955,1
0.0800,0.1141,-0.2202,-0.4975,-0.0116,9.5592,20.0933,12.5039,1
0.0850,0.1387,-0.2670,-0.5869,-0.0140,9.4456,20.1141,14.6107,1
0.0900,0.1678,-0.3221,-0.6760,-0.0170,9.3116,20.1387,15.0000,1
0.0950,0.2012,-0.3854,-0.7620,-0.0204,9.1537,20.1678,15.0000,1
0.1000,0.2389,-0.4564,-0.8449,-0.0242,8.9724,20.2012,15.0000,1
0.1050,0.2808,-0.5348,-0.9249,-0.0284,8.7689,20.2389,15.0000,1
0.1100,0.3266,-0.6201,-1.0019,-0.0330,8.5444,20.2808,15.0000,1
0.1150,0.3763,-0.7120,-1.0761,-0.0380,8.2999,20.3266,15.0000,1
0.1200,0.4297,-0.8100,-1.1475,-0.0434,8.0367,20.3763,15.0000,1
0.1250,0.4867,-0.9140,-1.2162,-0.0492,7.7557,20.4297,15.0000,1
0.1300,0.5471,-1.0234,-1.2823,-0.0552,7.4580,20.4867,15.0000,1
0.1350,0.6109,-1.1379,-1.3459,-0.0616,7.1446,20.5471,15.0000,1
0.1400,0.6780,-1.2574,-1.4070,-0.0684,6.8164,20.6109,15.0000,1
0.1450,0.7481,-1.3813,-1.4657,-0.0754,6.4743,20.6780,15.0000,1
0.1500,0.8212,-1.5095,-1.5221,-0.0827,6.1192,20.7481,15.0000,1
0.1550,0.8972,-1.6416,-1.5761,-0.0903,5.7521,20.8212,15.0000,1
0.1600,0.9760,-1.7774,-1.6280,-0.0982,5.3736,20.8972,15.0000,1
0.1650,1.0574,-1.9166,-1.6777,-0.1064,4.9845,20.9760,15.0000,1
0.1700,1.1414,-2.0589,-1.7253,-0.1148,4.5858,21.0574,15.0000,1
0.1750,1.2278,-2.2042,-1.7709,-0.1234,4.1780,21.1414,15.0000,1
0.1800,1.3166,-2.3521,-1.8146,-0.1322,3.7619,21.2278,15.0000,1
0.1850,1.4077,-2.5024,-1.8563,-0.1413,3.3382,21.3166,15.0000,1
0.1900,1.5009,-2.6550,-1.8961,-0.1506,2.9075,21.4077,15.0000,1
